02-05 12:38:04.060 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/main/PackageManReceiver;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V
02-05 12:38:04.060 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/GuideReceiver;->setIConstant(Lcom/jb/gokeyboard/langpack/guide/IConstant;)V
02-05 12:38:04.061 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/GuideReceiver;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V
02-05 12:38:04.061 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/Utils;->isGOKeyboard(Ljava/lang/String;)Z
02-05 12:38:04.714 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/main/PackageManReceiver;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V
02-05 12:38:04.715 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/GuideReceiver;->setIConstant(Lcom/jb/gokeyboard/langpack/guide/IConstant;)V
02-05 12:38:04.715 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/GuideReceiver;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V
02-05 12:38:04.715 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/Utils;->isGOKeyboard(Ljava/lang/String;)Z
02-05 12:38:20.671 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/main/PackageManReceiver;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V
02-05 12:38:20.671 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/GuideReceiver;->setIConstant(Lcom/jb/gokeyboard/langpack/guide/IConstant;)V
02-05 12:38:20.671 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/GuideReceiver;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V
02-05 12:38:20.671 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/main/Constant;->getAction()Ljava/lang/String;
02-05 12:38:20.671 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/Utils;->isExistTargetGokeyboard(Landroid/content/Context;Ljava/lang/String;Ljava/lang/String;)Z
02-05 12:38:20.671 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/Utils;->isGOKeyboard(Ljava/lang/String;)Z
02-05 12:38:27.666 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/main/PackageManReceiver;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V
02-05 12:38:27.666 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/GuideReceiver;->setIConstant(Lcom/jb/gokeyboard/langpack/guide/IConstant;)V
02-05 12:38:27.666 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/GuideReceiver;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V
02-05 12:38:27.666 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/main/Constant;->getAction()Ljava/lang/String;
02-05 12:38:27.666 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/Utils;->isExistTargetGokeyboard(Landroid/content/Context;Ljava/lang/String;Ljava/lang/String;)Z
02-05 12:38:27.666 D/GeniusPudding(21433): - Method START: Lcom/jb/gokeyboard/langpack/guide/Utils;->isGOKeyboard(Ljava/lang/String;)Z
02-05 12:38:31.652 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/AutoTextProvider;->onCreate()Z
02-05 12:38:31.652 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/AutoTextProvider;->onCreate()Z
02-05 12:38:31.653 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/MyBackupPro;->onCreate()Z
02-05 12:38:31.653 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/MyBackupPro;->onCreate()Z
02-05 12:38:31.654 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/UserDictionaryProvider;->a()Landroid/content/UriMatcher;
02-05 12:38:31.654 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/UserDictionaryProvider;->a()Landroid/content/UriMatcher;
02-05 12:38:31.654 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/UserDictionaryProvider;->onCreate()Z
02-05 12:38:31.654 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/UserDictionaryProvider;->onCreate()Z
02-05 12:38:31.672 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupActivity;->onCreate(Landroid/os/Bundle;)V
02-05 12:38:31.921 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupActivity;->onCreate(Landroid/os/Bundle;)V
02-05 12:38:31.982 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->onCreate(Landroid/os/Bundle;)V
02-05 12:38:31.991 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->e()I
02-05 12:38:31.992 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->f()I
02-05 12:38:31.992 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->c()V
02-05 12:38:31.992 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->c()V
02-05 12:38:31.992 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:31.995 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:31.995 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->f()I
02-05 12:38:31.995 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->e()I
02-05 12:38:31.998 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/compat/CompatUtils;->a(Ljava/lang/Class;Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;
02-05 12:38:32.002 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/compat/CompatUtils;->a(Ljava/lang/Class;Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;
