File Name,Package Name,Successfully Logged,"Triggered(Real/Emu/Both,None)",Trigger Type,Behavior Type,Behavior Difference,First Evading Point,Selected Round
B784A7215F2027DCA590C4B0FD9D418B051901683A8A9D880DF97D7C0891DAB2,ahman.timo.tatargetfinder,False,,build,return,False,,2
EE0A181B2FBF5F7F7E4B435C4819D9C6E14E330E423DEDBCD4682506719B36EE,an.MalayArabTranslate,True,,camera,stop_wifi,0.25,"START: Lcom/appbrain/AppBrainInitProvider;->onCreate()Z
",0
F8A7EADC7157EEDBF8FBE1870A3B54C5C34C30E08522D037942BFAAE7373F915,app.bpbonline,True,Both,location,exit,0.0,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
1410886C5741B977BD015861AACCDA83FDD9761BEB25B5BBB3A2A34EBB2B63E9,appinventor.ai_afandhirafa.EBOOK_CERITA_SUKSES,False,,location,write_string,False,,3
2E7347332D8A9B55456734B09F73831E42BBFFB4C869A64C88991847D1648251,appinventor.ai_bunjop.LifeFM,True,Real,build,native_log_string,0.8066544406602043,"END: Lappinventor/ai_bunjop/LifeFM/MainActivity;->onCreate(Landroid/os/Bundle;)V
",0
FDD425EDC99338727AA903929C4A618A277E30DBFF41F727C1FB1FE524A346EB,at.my_chauffeur.my_chauffeur,True,,location,exit,0.0,"END: Lat/my_chauffeur/my_chauffeur/MainActivity;->onCreate(Landroid/os/Bundle;)V
",0
A3C191D50AF53314A5E3F3AD67EC7F435D56D4252493D03A3E2A2A043B2230AE,com.activspaces.labs.bizcard,False,,camera,sms_imei,False,,3
EA6A078775272EBCB50925A5B75ADDBC37417171D31F5DF97131360ED49F6371,com.anncleaners.anncleaners,True,Both,camera,native_phone_number_network,0.25,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
9F5FA29E48216F91644C451447BD6BD51ABF0686D1DDC8E0DA3CDE27E79FBE22,com.apinjari.chargerremovalalarm,True,,camera,write_phone_number,0.25,"END: Lb/c/b/a/b/m/a;->a(Ljava/lang/String;I)Landroid/content/pm/ApplicationInfo;
",0
DEC64EB98E185858BEDF42491FCE45AE258EA644FAD02918A1CB2B6C7E719669,com.arabwomensports.sport,False,,camera,write_string,False,,4
B7181B64452D0D6104E61CC0BBD9177FD7ED19E521A6F436F44A3BF9373F0ABE,com.bcs.marvlis.fle.psapmonitor,False,,build,set_text,False,,2
81D56CE5A0E4EE7F17BAF609EFE5A0EE45A016AC713B5CA80EA92230C07D2804,com.birnepal.sciencekoguide,True,,camera,set_text_reflection,0.25688456741245563,"START: La/y/r/i;->c(Landroid/content/Context;La/y/b;)V
",2
489464241D1785DB3E30E05998873AB79214E7C8E9D2CB3C181D1D6BB023BA3D,com.branah.farsiiran,False,,location,stop_wifi,False,,4
55EA0817845EBAB7DD7DB7EB662FEA2E0CBB9BE463581A9A0CAED33BC4F6BF51,com.cakemakeappp.appandappcakemakeappbake,False,,location,sms_string,False,,3
317BE2812E6237888C24AA55F3CA352B6908F5970AF704ACE91D8F3932C9F633,com.CheckPointTexter,True,Both,location,native_write_phone_number,0.2603512094344495,"END: Lcom/CheckPointTexter/ActivityMain;->onCreateOptionsMenu(Landroid/view/Menu;)Z
",0
6A121452E63225D3718A642FBEA2DCAF252413F301E937A056F469E56C361A8E,com.cmusical.pc.culturamusical,True,Both,location,native_log_model,0.25,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
A650EF195201976D8725E61B88095304959F8F5E7C94D488025EF94E8670B9DB,com.datinglove.pet2,False,,build,sms_string,False,,3
000B390A3721379376B43BD4481DB65C7EDB7C05514EB681B172CA959F85CD1C,com.designhunt.geeksmood,False,,location,set_text_reflection,False,,4
C37286A40A8BB4E8216C1D6541FE841E36DF2BF2FA23CA76C84BF298424FDB54,com.diemagd.interestcalculator,True,,camera,native_phone_number_network,0.013675940312509162,"END: La/b/d/d/j;->onWindowAttributesChanged(Landroid/view/WindowManager$LayoutParams;)V
",0
43D44AF324B914E110EABF3C295FA8013C83A83CAA28E9CD079E2D3D0DF843FC,com.digitaltruth.fstop,True,Both,location,return,0.25,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
5A82F7C4C9A2AA6CEFFC11FB2F121ACA326B7CF854811B8B94F876ACFCD1F4E6,com.DrMoPhysics,False,,location,native_log_string,False,,0
6029FC3BAD52334FE0DEAB40EEA9E938E16513660362576071C5BB7CC7B1A8D3,com.efa.fororiza,True,Real,location,stop_wifi,0.7910228108903605,"END: Lcom/efa/fororiza/MainActivity;->onCreate(Landroid/os/Bundle;)V
",0
FCDCFA49ADDF813DB033CCB863407FF194AF3314E64AB75C3139A6AB6C2FB845,com.englistening.makeev.englisteningcom,False,,build,set_text,False,,0
780800B6359328938A5D181C15D74085E860F1305559577130D14078899A8A0C,com.facom.lighting.apk,False,,location,native_phone_number_network,False,,2
436D61DB00BE469D7AB0A09C4F91352AA653C0DBC440494BA63BF0C261742F7B,com.flaps.herbfun,True,Both,camera,write_string,0.5152137305943469,"START: Lcom/silkimen/cordovahttp/CordovaHttpPlugin;->setServerTrustMode(Lorg/json/JSONArray;Lorg/apache/cordova/CallbackContext;)Z
",0
6900C786343BE6A1CB8109E17CCC5541EC9CF6AE7456EDF7E14BA5B8F5E8ECA6,com.gcart.android.seraphim,True,,build,stop_wifi,0.9245283018867925,"END: Lcom/gcart/android/seraphim/MainActivity;->onCreateOptionsMenu(Landroid/view/Menu;)Z
",0
84CD830A3C5A709DE87BE4A91D39B1CB55D46F0C1A493F2FB8908F97B7357FA4,com.gkarbeerlover.giorgoskaryofyllis.beerlover,True,,location,stop_wifi,0.0,"START: Lcom/a/a/i;->run()V
",1
5BC0E58D71C16AE4C65AF2ADE09C222F9CF6630EA3B12A4BE172500800DC4180,com.gmail.coolapps726.bankTester,False,,location,native_log_string,False,,3
A38F2AC2FFBD49CD2F7B66E1EB699FA2A95D96570D5883F8B0A4344258EF67A5,com.gst.ihab.gst,False,,location,sms_string,False,,3
