diff filename,apk name,sign,rhsb,ehsb,Tr,Te
002C7672692000C30B38489402135948EA3D9DED79EF36339E756ACDA8B02BCA,com.BdStore.KosteVoraValobasa,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,"['Landroid/location/LocationManager;->getLastKnownLocation(Ljava/lang/String;)Landroid/location/Location;', 'Landroid/location/Location;->getLongitude()D']",,C:cond_0 False,C:cond_0 True
1E7BFC3E878D48531B8A5F82C80958BF81945EDB8CCCDC5BFBB40E63E18FD101,in.firm.stepsindia.orchardmart,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,,['Ljava/io/File;-><init>(Ljava/io/File;Ljava/lang/String;)V'],C:cond_0 True,C:cond_0 False
234F17850AFDFE3BF57CB44EF950346CEEAEB83B824FD7CD82AF4BCA80E6591C,io.Moonstargame.sanliturktarihi3,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,['Landroid/telephony/TelephonyManager;->getLine1Number()Ljava/lang/String;'],,C:cond_0 False,C:cond_0 True
2549073DC87967B9BF657F4BFBD8B556314D8CAA72A412C1A47D04058314DEC3,com.felsefe.notlari,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,['Landroid/telephony/TelephonyManager;->getLine1Number()Ljava/lang/String;'],,C:cond_0 False,C:cond_0 True
268212C3AB3E8052638C8E0AA0AFCF9F69C44D804CB46E5E16CA768720589C3D,com.digitalfuturesoft.mlbticketsapp,Lcom/digitalfuturesoft/mlbticketsapp/MainActivity$DetectConnection;->checkInternetConnection(Landroid/content/Context;)Z : Lcom/digitalfuturesoft/mlbticketsapp/MainActivity$DetectConnection;->checkInternetConnection(Landroid/content/Context;)Z,,"['Landroid/net/ConnectivityManager;->getActiveNetworkInfo()Landroid/net/NetworkInfo;', 'Landroid/net/NetworkInfo;->isAvailable()Z']",C:cond_0 True,C:cond_0 False
2BDB8FD08770297F94E29A8200567423844A227F186CCF99FB8B59152B65F52D,com.BDPlus.BangladesherItihas,Lcom/rjfun/cordova/ad/GenericAdPlugin;->onPause(Z)V : Lcom/rjfun/cordova/ad/GenericAdPlugin;->onPause(Z)V,,,C:cond_0 True,C:cond_0 False
2D6947F82FCD7B92F4F5D92E6E6C408008C5FF033FB7AD6F3544F03F8220278B,dev.hasni.srsinstaller,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,,,C:cond_0 True,C:cond_0 False
4C2AFD319BD46B634B8E42CD4EAF6D0CFC24EAEA53A23B2CF220D58ECE6DFD16,com.github.axet.hourlyreminder,Lcom/github/axet/hourlyreminder/alarms/Reminder$Key;->formatShort(Landroid/content/Context;)Ljava/lang/String; : C:cond_1 False,,,C:cond_0 False,C:cond_0 True
4C2AFD319BD46B634B8E42CD4EAF6D0CFC24EAEA53A23B2CF220D58ECE6DFD16,com.github.axet.hourlyreminder,Lcom/github/axet/hourlyreminder/alarms/Week;->format2412(Landroid/content/Context;J)Ljava/lang/String; : Lcom/github/axet/hourlyreminder/alarms/Week;->format2412(Landroid/content/Context;J)Ljava/lang/String;,['Landroid/widget/TextView;->setText(Ljava/lang/CharSequence;)V'],['Landroid/widget/TextView;->setText(Ljava/lang/CharSequence;)V'],C:cond_0 False,C:cond_0 True
5DBF74D41A9FD2E31ADD62D06A3DAF80204171B1F269FF7B646C52BC6B3E7DB6,ir.museumhikers.musem,Lir/museumhikers/musem/MainActivity;->onCreate(Landroid/os/Bundle;)V : Lir/museumhikers/musem/MainActivity;->onCreate(Landroid/os/Bundle;)V,,,C:cond_0 True,C:cond_0 False
